timestamp,ear,mar,p_drowsy,state
2025-11-24 07:30:28,0.192,0.072,0.99,fatigue_level_3
2025-11-24 07:30:29,0.186,0.176,0.99,fatigue_level_3
2025-11-24 07:30:29,0.196,0.035,0.98,fatigue_level_3
2025-11-24 07:30:29,0.198,0.087,0.98,fatigue_level_3
2025-11-24 07:30:29,0.188,0.084,0.99,fatigue_level_3
2025-11-24 07:30:29,0.192,0.141,0.99,fatigue_level_3
2025-11-24 07:30:30,0.188,0.067,0.99,fatigue_level_3
2025-11-24 07:30:30,0.162,0.037,1.00,fatigue_level_3
2025-11-24 07:30:30,0.165,0.000,1.00,fatigue_level_3
2025-11-24 07:30:30,0.169,0.165,1.00,fatigue_level_3
2025-11-24 07:30:35,0.196,0.027,0.98,fatigue_level_3
2025-11-24 07:30:35,0.188,0.000,0.99,fatigue_level_3
2025-11-24 07:30:40,0.161,0.081,1.00,fatigue_level_3
2025-11-24 07:30:40,0.172,0.000,1.00,fatigue_level_3
2025-11-24 07:30:42,0.184,0.000,0.99,fatigue_level_3
2025-11-24 07:30:44,0.189,0.015,0.99,fatigue_level_3
2025-11-24 07:30:44,0.194,0.034,0.98,fatigue_level_3
2025-11-24 07:30:44,0.188,0.086,0.99,fatigue_level_3
2025-11-24 07:30:44,0.196,0.000,0.98,fatigue_level_3
2025-11-24 07:30:44,0.192,0.111,0.99,fatigue_level_3
2025-11-24 07:30:44,0.196,0.029,0.98,fatigue_level_3
2025-11-24 07:30:46,0.057,0.053,1.00,fatigue_level_4
2025-11-24 07:30:49,0.186,0.034,0.99,fatigue_level_3
2025-11-24 07:30:49,0.197,0.143,0.98,fatigue_level_3
2025-11-24 07:30:49,0.185,0.102,0.99,fatigue_level_3
2025-11-24 07:30:50,0.195,0.015,0.98,fatigue_level_3
2025-11-24 07:30:50,0.197,0.061,0.98,fatigue_level_3
2025-11-24 07:30:50,0.197,0.074,0.98,fatigue_level_3
2025-11-24 07:30:51,0.198,0.127,0.98,fatigue_level_3
2025-11-24 07:30:51,0.192,0.087,0.99,fatigue_level_3
2025-11-24 07:30:51,0.190,0.042,0.99,fatigue_level_3
2025-11-24 07:30:52,0.199,0.000,0.97,fatigue_level_3
2025-11-24 07:30:53,0.072,0.026,1.00,fatigue_level_4
2025-11-24 07:30:54,0.124,0.000,1.00,fatigue_level_4
2025-11-24 07:30:55,0.179,0.000,0.99,fatigue_level_3
2025-11-24 07:31:11,0.179,0.084,0.99,fatigue_level_3
2025-11-24 07:31:12,0.186,0.016,0.99,fatigue_level_3
2025-11-24 07:31:12,0.185,0.075,0.99,fatigue_level_3
2025-11-24 07:31:13,0.106,0.303,1.00,fatigue_level_4
2025-11-24 07:31:13,0.194,0.158,0.99,fatigue_level_3
2025-11-24 07:31:13,0.190,0.099,0.99,fatigue_level_3
